word,jaccard,length,n_sentences,sep_max,peak_depth,combined,context,target
feeding,0.06666666666666667,19.6,10,0.04637786083751248,0.8635361552028219,0.55,0.6499999999999999,0.45
flesh,0.08695652173913043,21.0,10,0.06963344083891967,0.8333333333333334,0.5,0.2,0.35
fraction,0.12021857923497267,31.0,10,0.18191228310267127,0.5271164021164021,1.0,0.75,0.95
frequencies,0.10752688172043011,31.5,10,0.09934505489137432,0.5597993827160495,0.8500000000000001,0.8,0.8
generation,0.07738095238095238,25.3,10,0.059400945901870665,0.7558972663139331,0.3,0.0,0.45
government,0.11864406779661017,33.7,10,0.03226034839948014,0.3855268959435626,0.55,0.6,0.45
granted,0.17006802721088435,23.4,10,0.03334027197625896,0.7267967372134039,0.15000000000000002,0.2,0.25
greek,0.11734693877551021,29.6,10,0.03889510697788659,0.6246141975308642,0.2,0.0,0.4
head,0.09271523178807947,23.0,10,0.26623143752415973,0.3269951499118166,0.8,0.55,0.9
honor,0.12432432432432433,28.6,10,0.10062476661470197,0.42063492063492064,0.15000000000000002,0.2,0.45
horizon,0.1079136690647482,21.0,10,0.11432936456468368,0.3338844797178131,0.8500000000000001,0.6499999999999999,0.75
host,0.08035714285714286,34.5,10,0.15188320477803546,0.5352733686067019,0.8,0.6499999999999999,0.8500000000000001
hurry,0.10752688172043011,14.0,10,0.0010739564895629644,0.15283289241622575,0.6499999999999999,0.8500000000000001,0.05
identified,0.10948905109489052,20.3,10,0.039046631919013086,0.3419863315696649,0.35,0.3,0.5
illusion,0.14130434782608695,28.9,10,0.022872765858968035,0.5717592592592592,0.4,0.45,0.5
illustrated,0.12371134020618557,15.3,10,0.12133967545297408,0.43733465608465605,0.6499999999999999,0.45,0.8
image,0.11731843575418995,28.9,10,0.0691299239794413,0.947530864197531,0.2,0.2,0.2
imagine,0.1032258064516129,22.1,10,0.0019021630287170113,0.09115961199294532,0.15000000000000002,0.0,0.2
immediately,0.07446808510638298,29.9,10,0.06875527567333642,0.7918320105820106,0.7,0.7,0.6499999999999999
impressed,0.17880794701986755,23.5,10,0.02002260751194418,0.6795634920634921,0.25,0.2,0.30000000000000004
injury,0.13170731707317074,33.1,10,0.05076334211561411,0.49360670194003525,0.55,0.5,0.7
inspired,0.12432432432432433,30.4,10,6.622738308376735e-09,0.0,0.0,0.1,0.0
issue,0.09883720930232558,25.6,10,0.26156821184688145,0.6638007054673722,0.7,0.4,0.8
jumped,0.1282051282051282,18.6,10,7.33070903354111e-05,0.2222222222222222,0.25,0.45,0.25
killing,0.1509433962264151,26.2,10,0.08646364344490894,0.7128527336860669,0.3,0.1,0.6
knife,0.18421052631578946,19.5,10,0.006534179051717078,0.31453924162257496,0.2,0.4,0.30000000000000004
legs,0.12096774193548387,20.4,10,0.14582680993609956,0.2829585537918871,0.6499999999999999,0.55,0.75
located,0.10526315789473684,19.6,10,0.09774180584483672,0.21588403880070547,0.75,0.6499999999999999,0.8
maximum,0.1588235294117647,26.8,10,0.009765992561976081,0.26003086419753085,0.05,0.1,0.05
metal,0.07692307692307693,22.9,10,0.019725011454688135,0.7043650793650794,0.4,0.25,0.4
